"filename", "language", "JSON", "Markdown", "Properties", "C#", "HTML", "XML", "CSS", "TypeScript", "JavaScript", "comment", "blank", "total"
"e:\dev\SmartHomePI.NET\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\.editorconfig", "Properties", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\angular.json", "JSON", 105, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 124
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 2, 32
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 5, 24
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 2, 2, 33
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\package-lock.json", "JSON", 15320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15321
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\package.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_animations\fade-in.animation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 5, 6, 19
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_animations\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_animations\routeanimation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_animations\slide-in-out.animation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 4, 15
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_guards\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_services\CRUD.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 4, 17
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_services\CRUD.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 15, 55
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_services\alertify.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 4, 17
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_services\alertify.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_services\auth.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 4, 17
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"e:\dev\SmartHomePI.NET\SmartHomePI-NET-Frontend\src\app\_services\error.interceptor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 5, 45
